year,farm code,farm_acreage,species,produced_quantity,crop_acreage,hours_of_machines_ha,nitrogen_ha,phosphorus_ha,potassium_ha,fert_area,Herbicide_Qt Tox-0,Herbicide_Qt Tox-1,Herbicide_Qt Tox-2,Herbicide_Qt Tox-3,Herbicide_Qt Tox-4,Insecticide_Qt Tox-0,Insecticide_Qt Tox-1,Insecticide_Qt Tox-2,Insecticide_Qt Tox-3,Insecticide_Qt Tox-4,Fungicide_Qt Tox-0,Fungicide_Qt Tox-1,Fungicide_Qt Tox-2,Fungicide_Qt Tox-3,Fungicide_Qt Tox-4
2008,2702008010573000001,60.16,durum_wheat,1005.0,26.48,3.921827794561933,-888.0,-888.0,-888.0,26.48,2.3832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010575000001,51.22,durum_wheat,865.0,22.8,0.0,-888.0,-888.0,-888.0,22.8,1.5960000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010576000001,31.74,durum_wheat,585.0,15.97,0.0,-888.0,-888.0,-888.0,15.97,1.4373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010581000001,30.0,durum_wheat,762.0,21.0,0.0,-888.0,-888.0,-888.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.55,0.0,0.0,0.0,0.0
2008,2702008010582000001,24.0,durum_wheat,440.0,15.0,3.015333333333333,-888.0,-888.0,-888.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010585000001,20.85,durum_wheat,153.0,4.0,3.385,-888.0,-888.0,-888.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010593000001,15.5,durum_wheat,531.0,11.8,7.418644067796611,-888.0,-888.0,-888.0,11.8,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010594000001,40.98,durum_wheat,835.0,18.25,0.0,-888.0,-888.0,-888.0,18.25,12.9575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010597000001,21.4,durum_wheat,180.0,6.0,2.4616666666666664,-888.0,-888.0,-888.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010604000001,89.8,durum_wheat,800.0,40.0,1.6614999999999998,-888.0,-888.0,-888.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,0.0,0.0,0.0,0.0
2008,2702008010607000001,256.43,durum_wheat,4000.0,126.21,0.0,-888.0,-888.0,-888.0,126.21,129.9963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010610000001,63.69,durum_wheat,2300.0,57.56,0.0,-888.0,-888.0,-888.0,57.56,59.8624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010616000001,38.14,durum_wheat,440.0,10.0,17.025,-888.0,-888.0,-888.0,10.0,7.199999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010648000001,13.5,durum_wheat,26.0,1.5,3.08,-888.0,-888.0,-888.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010650000001,89.0,durum_wheat,300.0,14.2,0.8669014084507043,-888.0,-888.0,-888.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010701000001,68.0,durum_wheat,310.0,6.0,3.385,-888.0,-888.0,-888.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010703000001,83.98,durum_wheat,1250.0,35.0,0.0,-888.0,-888.0,-888.0,35.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010704000001,25.92,durum_wheat,221.0,6.29,3.6931637519872815,-888.0,-888.0,-888.0,6.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010705000001,47.4,durum_wheat,470.0,12.0,0.0,-888.0,-888.0,-888.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010706000001,55.7,durum_wheat,300.0,7.0,3.077142857142857,-888.0,-888.0,-888.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010707000001,31.2,durum_wheat,777.0,17.0,3.9547058823529415,-888.0,-888.0,-888.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010708000001,27.0,durum_wheat,200.0,5.0,3.3840000000000003,-888.0,-888.0,-888.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010718000001,51.0,durum_wheat,555.0,14.5,3.5648275862068965,-888.0,-888.0,-888.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,2702008010768000001,250.46,durum_wheat,2150.0,60.7,0.0,-888.0,-888.0,-888.0,60.7,17.602999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
