Farm ID,Year,Specie vegetale,Superficie coltivata,Ore uso macchina per ettaro
2812008020009000001,2017,Frumento duro,26.43,10.4
2812008020009000001,2018,Frumento duro,20.11,12.43
2812008020009000001,2019,Frumento duro,18.79,12.45
2812008020009000001,2020,Frumento duro,28.45,12.48
2812008020009000001,2021,Frumento duro,28.86,12.47
2812008020009000001,2022,Frumento duro,30.44,13.14
2812008020012000001,2008,Frumento duro,10.0,0.0
2812008020012000001,2009,Frumento duro,11.94,12.95
2812008020013000001,2008,Frumento duro,10.91,4.11
2812008020013000001,2009,Frumento duro,10.14,20.68
2812008020013000001,2010,Frumento duro,12.22,4.94
2812008020013000001,2011,Frumento duro,11.02,15.66
2812008020014000001,2008,Frumento duro,13.41,0.0
2812008020014000001,2009,Frumento duro,13.1,17.85
2812008020014000001,2010,Frumento duro,6.25,3.52
2812008020014000001,2011,Frumento duro,7.17,15.2
2812008020015000001,2008,Frumento duro,8.24,5.36
2812008020015000001,2009,Frumento duro,10.66,15.95
2812008020015000001,2010,Frumento duro,10.97,4.0
2812008020101000001,2008,Frumento duro,11.28,0.0
2812008020101000001,2009,Frumento duro,11.28,14.18
2812008020101000001,2011,Frumento duro,11.28,15.57
2812008020101000001,2013,Frumento duro,11.28,9.81
2812008020102000001,2008,Frumento duro,19.7,0.0
2812008020102000001,2009,Frumento duro,14.87,13.34
2812008020102000001,2010,Frumento duro,12.49,3.84
2812008020102000001,2011,Frumento duro,14.58,12.93
2812008020102000001,2012,Frumento duro,13.26,9.05
2812008020104000001,2008,Frumento duro,2.96,0.0
2812008020104000001,2009,Frumento duro,4.65,16.55
2812008020106000001,2008,Frumento duro,1.86,2.2
2812008020106000001,2009,Frumento duro,8.33,10.2
2812008020107000001,2008,Frumento duro,4.52,9.06
2812008020107000001,2009,Frumento duro,4.2,14.29
2812008020107000001,2010,Frumento duro,3.0,6.26
2812008020109000001,2008,Frumento duro,1.47,4.14
2812008020109000001,2009,Frumento duro,1.47,18.17
2812008020109000001,2010,Frumento duro,1.5,1.88
2812008020109000001,2011,Frumento duro,1.5,9.23
2812008020109000001,2012,Frumento duro,1.5,10.0
2812008020109000001,2013,Frumento duro,1.51,8.38
2812008020109000001,2014,Frumento duro,1.68,11.22
2812008020110000001,2008,Frumento duro,2.1,0.0
2812008020110000001,2009,Frumento duro,2.61,13.37
2812008020110000001,2010,Frumento duro,3.37,0.0
2812008020110000001,2011,Frumento duro,2.91,10.04
2812008020110000001,2013,Frumento duro,2.2,13.05
2812008020111000001,2008,Frumento duro,1.47,4.9
2812008020111000001,2009,Frumento duro,2.3,13.85
2812008020111000001,2010,Frumento duro,0.97,2.06
2812008020111000001,2011,Frumento duro,1.47,8.02
2812008020111000001,2012,Frumento duro,1.47,13.82
2812008020111000001,2013,Frumento duro,1.85,14.69
